id,gender,state,edu,edu2,age,ps_weights,duration_seconds,task_number,settle_binary,security,security_binary,culture,culture_binary,jobs,jobs_binary,group_edu,group_men,men0,men25,men50,men75,men100,startDate
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,1,1,3,0,2,1,2,1,30,0,1,0,0,0,0,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,1,0,5,1,2,1,5,0,0,100,0,0,0,0,1,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,2,1,5,1,3,1,4,0,20,50,0,0,1,0,0,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,2,0,4,0,2,1,5,0,20,50,0,0,1,0,0,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,3,1,3,0,5,0,3,1,30,50,0,0,1,0,0,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,3,0,4,0,3,1,3,1,20,50,0,0,1,0,0,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,4,1,4,0,5,0,2,1,20,100,0,0,0,0,1,12/30/16 02:20
1,Female,Berlin,Intermediate school-leaving certificate,Medium,23,1.262240327,234,4,0,5,1,3,1,5,0,0,25,0,1,0,0,0,12/30/16 02:20
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,1,1,1,0,4,0,1,1,20,0,1,0,0,0,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,1,0,4,0,4,0,4,0,0,50,0,0,1,0,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,2,1,2,0,4,0,2,1,10,25,0,1,0,0,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,2,0,4,0,4,0,4,0,0,100,0,0,0,0,1,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,3,1,2,0,4,0,2,1,10,50,0,0,1,0,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,3,0,4,0,4,0,4,0,0,75,0,0,0,1,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,4,1,1,0,4,0,1,1,20,0,1,0,0,0,0,12/25/16 14:55
2,Female,Thueringen,Still in school,Low,19,1.967011793,312,4,0,1,0,4,0,1,1,10,0,1,0,0,0,0,12/25/16 14:55
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,1,1,1,0,6,0,2,1,20,0,1,0,0,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,1,0,6,1,1,1,6,0,0,0,1,0,0,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,2,1,2,0,5,0,2,1,0,50,0,0,1,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,2,0,5,1,2,1,5,0,20,50,0,0,1,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,3,1,4,0,2,1,2,1,10,75,0,0,0,1,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,3,0,4,0,2,1,6,0,30,50,0,0,1,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,4,1,3,0,4,0,2,1,0,25,0,1,0,0,0,12/29/16 11:18
3,Male,Nordrhein-Westfalen,Degree in vocational education,Low,65,0.436483848,482,4,0,5,1,2,1,2,1,0,0,1,0,0,0,0,12/29/16 11:18
